id,title,entity_type,author,publication_year,genre,publisher,page_count,isbn,cover_url,summary,source,source_paths
037b35c0-bdbc-54b2-80ab-e0e741d459f5,Lưu Quang Vũ,author,,,,,,,,"Lưu Quang Vũ (17 tháng 4 năm 1948 – 29 tháng 8 năm 1988) là một cố nhà văn, nhà soạn kịch kiêm nhà thơ người Việt Nam.
Lưu Quang Vũ sinh tại xã Thiệu Cơ, huyện Hạ Hòa, tỉnh Phú Thọ nhưng quê gốc lại ở quận Hải Châu, thành phố Đà Nẵng, là con trai nhà viết kịch Lưu Quang Thuận và bà Vũ Thị Khánh, và tuổi thơ sống tại Phú Thọ cùng cha mẹ. Khi hoà bình lập lại (1954) gia đình ông chuyển về sống tại Hà Nội. Thiên hướng và năng khiếu nghệ thuật của ông đã sớm bộc lộ từ nhỏ và vùng quê trung du Bắc Bộ đó đã in dấu trong các sáng tác của ông sau này.
Ngày 3-6-1965, ông nhập ngũ, được đào tạo thành thợ máy ngành Vô tuyến điện tử máy bay tại Trường Hàng không Cát Bi, Hải Phòng(e-910) và phục vụ tại C4-trung đoàn 921(e-921), sân bay Nội Bài. Đây là thời kỳ thơ Lưu Quang Vũ bắt đầu nở rộ.",wikipedia,data/processed/work/page_104238.json
4b540d17-82c2-5473-a789-b5d6aa4cf3f9,Lũy Hoa,work,,,,,,,,"Lũy Hoa là vở kịch được viết vào năm 1960, năm cuối đời của nhà văn Nguyễn Huy Tưởng.
Lũy Hoa cho ta chứng kiến cuộc chiến diễn ra trong suốt 60 ngày đêm, cho đến khi Trung đoàn Thủ đô rút ra khỏi Hà Nội, để cùng toàn dân tiến hành cuộc kháng chiến trường kỳ, theo lời kêu gọi của Hồ Chủ tịch; cùng với một khúc vĩ thanh đậm in dấu ấn lãng mạn 7 năm sau đoàn quân chiến thắng trở về, trên những phố xưa.
Lũy Hoa nhận sứ mệnh thực hiện nốt phần còn lại của Sống mãi với Thủ đô - cuốn tiểu thuyết nếu Nguyễn Huy Tưởng thực hiện được trọn vẹn thì đó sẽ là tác phẩm có quy mô lớn nhất của nền văn xuôi Việt Nam hiện đại, tính cho đến ngày nhà văn qua đời.",wikipedia,data/processed/work/page_106721.json
1506cdda-5cd3-5045-88aa-b7d674b80cdb,Hòn Đất (tiểu thuyết),work,,,,,,,,"Hòn Đất là một tiểu thuyết của nhà văn Anh Đức. Cuốn tiểu thuyết này viết về cuộc chiến đấu của dân và quân huyện Châu Thành, tỉnh Rạch Giá (nay thuộc huyện Hòn Đất, tỉnh Kiên Giang), Việt Nam, chống lại quân đội Việt Nam Cộng hòa và Hoa Kỳ trong giai đoạn chiến tranh đặc biệt của cuộc  Kháng chiến chống Mỹ của Việt Nam
Nhà văn Anh Đức đã viết cuốn tiểu thuyết này trong hai năm 1964 và 1965. Một năm sau, tiểu thuyết Hòn Đất được Nhà xuất bản Văn học xuất bản lần đầu và đã được trao tặng giải thưởng văn nghệ Nguyễn Đình Chiểu. Sau đó, tác phẩm đã được tái bản nhiều lần cũng như được dịch và xuất bản bằng nhiều thứ tiếng, như: Anh, Đức, Esperanto, Nhật Bản, Nga, Pháp, Tây Ban Nha, Trung Quốc...
Chuyện xảy ra vào đầu năm 1961 tại Hòn Đất. Đội du kích xã ở nơi đây đã rút lui vào hang Hòn trong một trận chống càn quyết liệt. Đội có tất cả 17 người với vũ khí thô sơ. Mặc dù đối phương đông gấp nhiều lần, được trang bị đầy đủ, vũ khí hiện đại và dùng nhiều giải pháp, như: bỏ thuốc độc vào nước suối, chặn mọi đường tiếp tế, dùng thuốc nổ phá hang, hun khói vào hang... nhưng đội du kích kiên trì chống trả nhiều lần và kiên cường sống chết ở nơi đó.",wikipedia,data/processed/work/page_107144.json
80e3c9b2-be56-5bb6-8448-cace23a9a439,Lê Đại Thanh,author,,,,,,,,"Lê Đại Thanh (1907-1996) là nhà thơ, nhà viết kịch thuộc thế hệ những nghệ sĩ đầu tiên của nghệ thuật sân khấu Việt Nam hiện đại, cùng thời với Thế Lữ và Vi Huyền Đắc. Ông đồng thời là hội viên sáng lập của Hội Nhà văn Việt Nam (1957) cũng như các tờ báo Văn nghệ và báo Cứu quốc. Các con và cháu ngoại của ông sau này đều trở thành những nghệ sĩ tên tuổi như họa sĩ Lê Đại Chúc, Nghệ sĩ ưu tú Lê Chức, Nghệ sĩ ưu tú Lê Mai, Nghệ sĩ Nhân dân Lê Khanh, Nghệ sĩ ưu tú Lê Vân, và Nghệ sĩ ưu tú Lê Vi.
Lê Đại Thanh sinh năm 1907 tại Hải Phòng trong một gia đình trí thức. Ông học bậc tiểu học tại trường Bonnal, Hải Phòng (nay là Trường Trung học phổ thông Ngô Quyền, Hải Phòng). Sau khi học xong tiểu học năm 1922, ông lên học trường Bưởi, Hà Nội.
Tốt nghiệp bằng Thành Chung, Lê Đại Thanh theo học ngành sư phạm.",wikipedia,data/processed/work/page_1086880.json
3500d7df-c26f-5830-a271-0590a73a265e,Lưu Quang Thuận,author,,,,,,,,"Lưu Quang Thuận (14 tháng 7 năm 1921 – 21 tháng 2 năm 1981) là một cố nhà thơ kiêm nhà soạn kịch người Việt Nam.
Lưu Quang Thuận sinh ngày 14 tháng 7 năm 1921 tại Đà Nẵng. Trước năm 1945, ông có một số bài thơ đăng báo tại Sài Gòn, Hà Nội và kịch bản đầu tay Chu Du đại chiến Uất Trì (1941) được dàn dựng, biểu diễn ở cả ba miền Bắc, Trung, Nam thời kỳ đó. Ông tham gia hoạt động Việt Minh từ năm 1946, sáng lập Nhà xuất bản Hoa Lư, sáng lập và làm chủ nhiệm Tạp chí Sân khấu (số đầu tiên ra ngày 20 tháng 11 năm 1946) và là Giám đốc Việt Nam thư ấn cục của chính phủ Việt Nam Dân chủ Cộng hoà tại chiến khu Việt Bắc. Năm 1948 ông gia nhập quân đội và hoạt động trong Đoàn kịch Chiến thắng cho đến khi chuyển về Đoàn văn công Nhân dân Trung ương năm 1951. Từ năm 1954 đến 1964 làm việc tại Đài phát thanh tiếng nói Việt Nam, Nhà xuất bản Văn học, Báo Văn nghệ. Từ 1965 cho đến khi mất, ông làm nghiệp vụ tác gia tại Nhà hát chèo Việt Nam.
Ông là cha của nhà viết kịch, nhà thơ Lưu Quang Vũ. Lưu Quang Thuận qua đời đột ngột ngày 21 tháng 2 năm 1981 khi đang xem biểu diễn tại Nhà hát Lớn thành phố Hà Nội, an táng tai Nghĩa trang Văn Điển.",wikipedia,data/processed/work/page_111626.json
28958de6-6c61-5ef1-9939-ee3c8c5b7778,Đoàn Phú Tứ,author,,,,,,,,"Đoàn Phú Tứ (1910 - 1989) là một nhà soạn kịch, nhà thơ, dịch giả Việt Nam nổi danh từ thời tiền chiến. Khi viết, ông ký tên thật hoặc các bút danh: Ngộ Không, Tam Tinh, Tuấn Đô,...
Ông sinh ngày 10 tháng 9 năm 1910 tại Hà Nội. Quê quán ông ở làng Tử Nê, xã Minh Đạo, huyện Tiên Du, tỉnh Bắc Ninh.
Lúc trẻ, ông học ở trường Bưởi (nay là trường Trung học phổ thông Chu Văn An, Hà Nội) và trường Albert Sarraut (nay là trường Trung học Phổ thông Trần Phú - Hoàn Kiếm).",wikipedia,data/processed/work/page_112086.json
657f9646-e6a4-5cd4-8875-217290c6f674,Tào Mạt,author,,,,,,,,"Tào Mạt (23 tháng 11 năm 1930 – 13 tháng 4 năm 1993) tên thật là Nguyễn Đăng Thục là một nhà soạn giả chèo hiện đại người Việt Nam, được phong tặng danh hiệu nghệ sĩ nhân dân năm 1993 và truy tặng Giải thưởng Hồ Chí Minh năm 1996.
Tào Mạt tên thật là Nguyễn Duy Thục, có lúc viết là Nguyễn Đăng Thục, sinh ngày 23 tháng 11 năm 1930 tại xã Hữu Bằng, huyện Thạch Thất, tỉnh Hà Tây.
Ông tham gia các hoạt động cách mạng do Việt Minh tổ chức từ 1942, khi còn rất ít tuổi, tham gia cuộc khởi nghĩa giành chính quyền năm 1945 ở Hà Tây và là đảng viên Đảng Cộng sản Đông Dương từ năm 1946, khi mới 16 tuổi. Tào Mạt đặc biệt yêu thích văn học Hán-Nôm và chủ yếu tự học để nghiên cứu. Ông là sĩ quan Quân đội nhân dân Việt Nam, mang quân hàm Đại tá.",wikipedia,data/processed/work/page_112411.json
ced57782-a6fa-557f-a2ae-94dfea7981a4,Hòn vọng phu (trường ca),work,,,,,,,,"""Hòn vọng phu"" là trường ca trứ danh trong âm nhạc Việt Nam, do nhạc sĩ Lê Thương sáng tác từ năm 1943 đến 1947, xuất bản lần đầu từ năm 1946 đến năm 1949. Đây là một trong những bản trường ca đầu tiên của nền tân nhạc Việt Nam, đã khiến giới âm nhạc và công chúng yêu nhạc mãi nhớ đến nhạc sĩ Lê Thương trong kho tàng ca khúc Việt Nam.
Nhạc sĩ Lê Thương đã dành thời gian nghiền ngẫm đề tài ""chinh phụ"" (nghĩa là vợ của người đi chinh chiến) từ lâu trước khi bắt tay sáng tác. Ông đọc thuộc thi phẩm ""Chinh phụ ngâm"" cả nguyên tác chữ Hán của Đặng Trần Côn và bản dịch chữ Nôm của Đoàn Thị Điểm. Tiếp theo, ông đã bắt gặp nhiều hình tượng người chinh phụ ngoài đời thực. Sự tích nàng Tô Thị bồng con chờ chồng đến hóa đá ở miền Bắc Việt Nam; hay người chinh phụ trên núi Đá Bia ở phía đông đèo Cả, ranh giới tỉnh Phú Yên và Khánh Hòa; thậm chí là cả ""Vọng phu thạch"" ở Trung Quốc khi ông vượt qua biên giới Việt–Trung. Những hình tượng này khiến Lê Thương chiêm nghiệm rằng, dù ở phương trời nào thì chiến tranh cũng gây nên cơn đau đè nặng lên người phụ nữ, từ đó khiến nhạc sĩ viết trường ca ""Hòn vọng phu"" trong nỗi xúc động sâu sắc. Ba phiên khúc được ông viết từ năm 1943 đến 1947 với phần 1 ra đời tại tỉnh Bến Tre, Nam Kỳ. Nhạc sĩ Lê Thương cho biết: ""Việc sáng tác ba bản Hòn vọng phu xuất phát từ những bước luân lạc kéo dài tại xứ dừa Bến Tre. Những rung cảm êm đềm lẫn ghê rợn, tuyệt vọng, đã giúp cho chàng nhạc sĩ giang hồ gốc Thăng Long là tôi chắp nối dần các tình tiết thành một truyện ca"".
""Hòn vọng phu"" nguyên là tên một truyện cổ tích buồn nổi tiếng trong văn học dân gian Việt Nam, có nhiều dị bản, một trong số đó có nội dung tóm tắt:Hai anh em ruột gặp nạn và ly biệt nhau, khi lớn tái ngộ nhưng không nhận ra đấy là anh em. Họ yêu nhau, cưới nhau làm vợ chồng rồi sinh ra một đứa con. Một hôm, khi đang gội đầu, người vợ đã vô tình để lộ ra một vết sẹo to. Người chồng nhìn thấy vết sẹo trên đầu người vợ, nhận ra đó là em gái mình. Quá đau đớn, người chồng từ biệt vợ ra đi. Người vợ thì không biết chuyện đó, cứ ngỡ chồng đi vài ngày rồi sẽ về, nhưng chờ mãi vẫn không thấy. Vài tháng, vài năm qua đi, bà vẫn mòn mỏi ôm con đứng đợi trên đỉnh núi. Cho đến rất lâu sau, dân chúng thấy nơi đó một hòn đá hướng phương trời xa thẳm, chính là người vợ bồng con đã hóa đá vì chờ chồng. Bà có tên là Tô Thị. Dân gian lưu truyền ca dao: ""Đồng Đăng có phố Kỳ Lừa, có nàng Tô Thị, có chùa Tam Thanh"". Thắng cảnh đá Vọng Phu tại thành phố Lạng Sơn, tỉnh Lạng Sơn ở Đông Bắc Bộ Việt Nam, bị đổ sụp vào năm 1991 và được người ta phục dựng lại.",wikipedia,data/processed/work/page_112605.json
c13cfa40-a56a-548a-b94b-446819e49b2a,"Bi, Bo và Kim Quy",work,,,,,,,,"Bi, Bo và Kim Quy là một truyện tranh của Việt Nam do tác giả Quang Toàn sáng tác. Truyện từng được đăng nhiều năm liên tiếp trên các tạp chí dành cho thiếu nhi (ví dụ như báo Nhi đồng) và hiện nay được Nhà xuất bản Kim Đồng ấn hành. Truyện xoay quanh các cuộc phiêu lưu của hai chị em Bi, Bo cùng với Kim Quy, một chú rùa vàng sở hữu nhiều phép thuật kỳ diệu.",wikipedia,data/processed/work/page_1166667.json
09293e28-0964-5ef2-81a4-89ca5f5ccce5,Mai Mơ và Chi Li,work,,,,,,,,"Mai Mơ và Chi Li là tên của một truyện tranh Việt Nam do Phan Thị Giao Chi viết cốt truyện và Hướng Dương vẽ minh họa. Truyện được đăng trên báo Nhi Đồng trong khoảng thời gian 1995-2005 và được nhà xuất bản Văn Nghệ ấn hành từ năm 2007. Truyện xoay quanh cuộc sống của hai chị em song sinh Mai Mơ và Chi Li cùng với những người bạn thân của mình trong trường dạy phép thuật Úm Ba La.
Mai Mơ: Nhân vật nữ chính của truyện và cũng là tâm điểm của những diễn biến tình tiết trong truyện. Một học sinh lười biếng, ham chơi, học kém và hay quậy phá - chính tính cách này đã gây ra nhiều tình huống dở khóc dở cười cho bản thân Mai Mơ cũng như những người xung quanh. Nhưng Mai Mơ cũng là một cô gái tốt bụng và cô thật sự đóng một vai trò quan trọng trong các cuộc phiêu lưu của cả nhóm bạn. Về sau, Mai Mơ theo học về khóa ""phép thuật hiện đại"" và trở nên rất rành rẽ về món này.
Chi Li: Chị song sinh và là một bản sao ngược của Mai Mơ về tính cách: chăm chỉ, học giỏi, hạnh kiểm tốt. Điểm đáng phàn nàn về tính cách là thái độ chiều chuộng quá mức đối với cô mèo cưng Méo Méo của mình.",wikipedia,data/processed/work/page_1166709.json
